[2020-04-19 17:43:49] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[502109952]
[2020-04-19 17:43:49] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[493717248]
[2020-04-19 17:44:20] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:44:21] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:44:21] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2137573632]
[2020-04-19 17:44:21] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1946154752]
[2020-04-19 17:44:37] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:44:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:44:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[394258176]
[2020-04-19 17:44:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[385865472]
[2020-04-19 17:47:46] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:47:47] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:47:47] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1451214592]
[2020-04-19 17:47:47] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1442821888]
[2020-04-19 17:48:44] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:48:45] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:48:45] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-134220032]
[2020-04-19 17:48:45] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-142612736]
[2020-04-19 17:50:06] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:50:07] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:50:07] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-646592768]
[2020-04-19 17:50:07] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-654985472]
[2020-04-21 09:42:29] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:42:29] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:42:29] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1476397312]
[2020-04-21 09:42:29] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1484790016]
[2020-04-21 09:44:27] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:44:28] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:44:28] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1048561408]
[2020-04-21 09:44:28] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1040168704]
[2020-04-21 09:44:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:44:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:44:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-630270208]
[2020-04-21 09:44:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-638662912]
[2020-04-21 09:45:41] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:45:42] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:45:42] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-643967232]
[2020-04-21 09:45:42] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-652359936]
[2020-04-21 09:50:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:50:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
